Author,Title,Epub.No
"Jefferson, Thomas, 1743-1826",The Declaration of Independence of the United States of America,1
"Doyle, Arthur Conan, 1859-1930",The Memoirs of Sherlock Holmes,834
"Congreve, William, 1670-1729",The Way of the World,1292
"Collins, W. W. (William Wiehe), 1862-1951",Cathedral Cities of Spain,40356
"Burnett, Frances Hodgson, 1849-1924",The Secret Garden,113
"Henry, Thomas R. (Thomas Robert), 1893-",The Strangest Things in the World: A Book About Extraordinary Manifestations of Nature,67223
"Lovecraft, H. P. (Howard Phillips), 1890-1937",The call of Cthulhu,68283
"Hyde, Walter Woodburn, 1871-1966",Olympic Victor Monuments and Greek Athletic Art,61792
"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859","Critical, Historical, and Miscellaneous Essays; Vol. 2With a Memoir and Index",55902
Anonymous,The International Jew : The World's Foremost Problem,37539
"La Bruyère, Jean de, 1645-1696","The ""Characters"" of Jean de La Bruyère",46633
"Augustine, Saint, Bishop of Hippo, 354-430","The City of God, Volume II",45305
"Proust, Marcel, 1871-1922",Swann's Way,7178
"Grahame, Kenneth, 1859-1932",The Wind in the Willows,289
,"Doctrina ChristianaThe first book printed in the Philippines, Manila, 1593.",16119
"Wells-Barnett, Ida B., 1862-1931",Southern Horrors: Lynch Law in All Its Phases,14975
"Thurston, Edgar, 1855-1935",Omens and Superstitions of Southern India,35690
"Descartes, René, 1596-1650",Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,59
"Housman, A. E. (Alfred Edward), 1859-1936",A Shropshire Lad,5720
"Petronius Arbiter, 20-66",The Satyricon — Complete,5225
"Wells-Barnett, Ida B., 1862-1931",The Red RecordTabulated Statistics and Alleged Causes of Lynching in the United States,14977
"Conway, Moncure Daniel, 1832-1907",Demonology and Devil-lore,40686
"Oman, Charles, 1860-1946","A history of the Peninsular War, Vol. 4, Dec. 1810-Dec. 1811 :  Massena's retreat, Fuentes de Oñoro, Albuera, Tarragona",56812
"Wollstonecraft, Mary, 1759-1797",A Vindication of the Rights of WomanWith Strictures on Political and Moral Subjects,3420
"Polo, Marco, 1254-1324",The Travels of Marco Polo — Volume 1,10636
"Rowlandson, Mary White, 1635?-1711",Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,851
"Frost, Robert, 1874-1963",Selected Poems,59824
"Stevenson, Robert Louis, 1850-1894",The Strange Case of Dr. Jekyll and Mr. Hyde,42
"Emerson, Ralph Waldo, 1803-1882",Nature,29433
"Verne, Jules, 1828-1905",A Journey to the Centre of the Earth,18857
"Tozer, A. W. (Aiden Wilson), 1897-1963",The Pursuit of God,25141
"Burnett, Frances Hodgson, 1849-1924",A Little PrincessBeing the whole story of Sara Crewe now told for the first time,146
"Euripides, 481? BCE-407 BCE",Medea of Euripides,35451
"Pocock, Roger, 1865-1941",Horses,73259
"Twain, Mark, 1835-1910","The Mysterious Stranger, and Other Stories",3186
"Tocqueville, Alexis de, 1805-1859",Democracy in America — Volume 2,816
"Karpinski, Louis Charles, 1878-1956",The Hindu-Arabic Numerals,22599
"Merle d'Aubigné, J. H. (Jean Henri), 1794-1872",History of the Reformation in Europe in the Time of Calvin. Vol. 4 (of 8),60035
"Masters, Edgar Lee, 1868-1950",Spoon River Anthology,26471
"Fitzgerald, F. Scott (Francis Scott), 1896-1940",This Side of Paradise,805
"Carroll, Lewis, 1832-1898",Alice's Adventures in Wonderland,19033
"Gay, John, 1685-1732",The Beggar's Opera; to Which is Prefixed the Musick to Each Song,25063
"Nixon-Roulet, Mary F., -1930",Japanese folk stories and fairy tales,73293
"Napoleon I, Emperor of the French, 1769-1821","Napoleon's Letters to Josephine, 1796-1812For the First Time Collected and Translated, with Notes Social, Historical, and Chronological, from Contemporary Sources",37499
"Pigafetta, Antonio, 1480?-1534?","The Philippine Islands, 1493-1898, Volume 33, 1519-1522Explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commercial and religious conditions of those islands from their earliest relations with European nations to the close of the nineteenth century",42884
,Filipino Popular Tales,8299
"Milton, John, 1608-1674",Paradise Lost,20
"Xenophon, 432 BCE-351? BCE",Anabasis,1170
"Wilde, Oscar, 1854-1900",The Picture of Dorian Gray,4078
Anonymous,Ibong AdarnaCorrido at Buhay na Pinagdaanan nang tatlong Principeng Magcacapatid na Anac nang Haring Fernando at nang Reina Valeriana sa Cahariang Berbania,16157
"Schopenhauer, Arthur, 1788-1860",The World as Will and Idea (Vol. 1 of 3),38427
"Hardy, G. H. (Godfrey Harold), 1877-1947",A Course of Pure MathematicsThird Edition,38769
"Bede, the Venerable, Saint, 673-735",Bede's Ecclesiastical History of England,38326
"Virgil, 71 BCE-20 BCE",The Aeneid,228
"Defoe, Daniel, 1661?-1731","A Journal of the Plague YearBeing Observations or Memorials of the Most Remarkable Occurrences, as Well Public as Private, Which Happened in London During the Last Great Visitation in 1665. Written by a Citizen Who Continued All the While in London",376
"Collins, Wilkie, 1824-1889",The Woman in White,583
"Backus, W. Elwyn (Waldo Elwyn), 1892-1979",The waning of a world,73270
"Christie, Agatha, 1890-1976",The Murder on the Links,58866
"Merle d'Aubigné, J. H. (Jean Henri), 1794-1872","History of the Reformation in Europe in the Time of Calvin, Vol. 7 (of 8)",61913
"Montgomery, L. M. (Lucy Maud), 1874-1942",Anne of Avonlea,47
"Dewey, John, 1859-1952",Democracy and Education: An Introduction to the Philosophy of Education,852
"Brooks, David Marshall, 1902-",The Necessity of Atheism,20248
"Rachinskii, Sergei Aleksandrovich, 1836-1902",1001 задача для умственного счета,16527
"Thackeray, William Makepeace, 1811-1863",Vanity Fair,599
"Andersen, H. C. (Hans Christian), 1805-1875",Andersen's Fairy Tales,1597
"Nordenskiöld, Erland, 1877-1932",Indianerleben :  El gran Chaco (Südamerika),73205
"Crane, Stephen, 1871-1900",The Red Badge of Courage: An Episode of the American Civil War,73
"Foxe, John, 1516-1587","Fox's Book of MartyrsOr A History of the Lives, Sufferings, and TriumphantDeaths of the Primitive Protestant Martyrs",22400
"Collodi, Carlo, 1826-1890",The Adventures of Pinocchio,500
,Philippine Folk Tales,12814
United States. Office of Strategic Services,Simple Sabotage Field Manual,26184
"Pope, Alexander, 1688-1744","The Rape of the Lock, and Other Poems",9800
"Thomas, à Kempis, 1380-1471",The Imitation of Christ,1653
"Teichner, Albert",The wellsprings of space,73226
"Falkner, John Meade, 1858-1932",雲形紋章,35018
"Scott, Walter, 1771-1832",Ivanhoe: A Romance,82
"Plato, 428? BCE-348? BCE",The Republic of Plato,55201
"Carlyle, Thomas, 1795-1881","On Heroes, Hero-Worship, and the Heroic in History",1091
